H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H3+         C2S                     HC2S+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiO                     SiOH+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
O           SiNCH+                  SiN         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
CH3+        Si                      HCSi+       H2                                  2.00E-10     0.00      0.0   10.41000.  5 C IN
CH3+        Si                      SiCH2+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
CH4         PH2+                    PCH4+       H2                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
H3+         CH2CO                   CH3CO+      H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       HC3N                    HC3NH+      C2H2                                3.80E-09    -0.50      0.0   10.41000.  5 A IN
CH4         C4H+                    C5H3+       H2                                  1.10E-09     0.00      0.0   10.41000.  5 C IN
CH3+        HC3N                    CH3C3NH+                                        8.60E-11    -1.40      0.0   10.  300.  5 C RA
CH4         C6+                     C7H3+       H                                   2.26E-10     0.00      0.0   10.41000.  5 B IN
C3H3        C4H2+                   C7H3+       H2                                  5.00E-10    -0.50      0.0   10.41000.  5 C IN
C3H         C4H3+                   C7H3+       H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
HC2S+       E-                      CS          CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2O         HOCS+                   H3O+        OCS                                 3.40E-09    -0.50      0.0   10.41000.  5 A IN
H3+         C3S                     HC3S+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H         CS                      C3S         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
H3+         C4S                     HC4S+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2PO+       E-                      PH          OH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3+         HCP                     PCH2+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
H2C3H+      C4H                     C7H2+       H2                                  7.50E-10    -0.50      0.0   10.41000.  5 C IN
H2C3H+      C3H3                    C6H4+       H2                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
C3H3+       C3H3                    C6H4+       H2                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C9H2                    C9H3+       H2                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiC2H                   SiC2H2+     H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiC2H2                  SiC2H3+     H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H4        Si                      SiC2H2      H2                                  1.85E-10    -0.34     16.0   15.  300.  5 B NN
H3+         SiC3H                   SiC3H2+     H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiCH2                   SiCH3+      H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H2O         SiCH3+                  SiCH2       H3O+                                2.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         SiCH3                   SiCH4+      H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
He+         SiCH3                   SiCH2+      He          H                       1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          CH2CN                   CH2CN+      C                                   2.00E-09    -0.50      0.0   10.  300.  5 C CE
CH2+        HCN                     CH2CN+      H                                   1.80E-09    -0.50      0.0   10.41000.  5 A IN
H2          HS2+                    H3S2+                                           1.00E-14    -1.00      0.0   10.  300.  5 C RA
SiS+        E-                      S           Si                                  2.00E-07    -0.50      0.0   10.  300.  5 C DR
Si+         OCS                     SiS+        CO                                  9.00E-10     0.00      0.0   10.41000.  5 B IN
SiNCH+      E-                      SiN         CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiNH2+                  SiNCH+      H                                   1.00E-10     0.00      0.0   10.  300.  5 C IN
HCN         Si+                     SiNCH+                                          6.00E-15    -1.50      0.0   10.  300.  5 B RA
PCH4+       E-                      P           CH4                                 3.00E-07    -0.50      0.0   10.  300.  5 C DR
PCH4+       E-                      HCP         H2          H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
PCH4+       E-                      CH2PH       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2PO+       E-                      HPO         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2O         PH2+                    H2PO+       H2                                  3.28E-10    -0.50      0.0   10.41000.  5 A IN
H2O         PH+                     H2PO+       H                                   2.04E-10    -0.50      0.0   10.41000.  5 A IN
H3S2+       E-                      HS2         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3S2+       E-                      H2S2        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           SiNH2+                  SiNC+       H2                                  1.00E-10     0.00      0.0   10.  300.  5 C IN
SiNH2+      E-                      SiN         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiNH2+      E-                      HNSi        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
